 Tienda , Código , Cod. barras , Nombre , Descripción , Categorias , Marca , Características , Impuestos , P. costo , Estado , Stock , Stock min , Ubicación , P. venta , Unidad , Nombre de lista de precio , Factor de conversión , Precio al por mayor , Cantidad mínima , Cantidad máxima 
 Tienda Tantamayo , 391 , 7750078002828 , 6.5OZ VASO 3B ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 391 , 7750078002828 , 6.5OZ VASO 3B ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 391 , 7750078002828 , 6.5OZ VASO 3B ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, MILLAR , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 391 , 7750078002828 , 6.5OZ VASO 3B ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, CIENTO , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 392 ,  , 1/2L EC BL TERMOPACK ,  , ENVASES , TERMOPACK ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 392 ,  , 1/2L EC BL TERMOPACK ,  , ENVASES , TERMOPACK ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, MILLAR , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 392 ,  , 1/2L EC BL TERMOPACK ,  , ENVASES , TERMOPACK ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, CIENTO , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510393 ,  , PALO DE ANTICUCHO ,  , OTROS , S/M ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510393 ,  , PALO DE ANTICUCHO ,  , OTROS , S/M ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 2510393 ,  , PALO DE ANTICUCHO ,  , OTROS , S/M ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , MAZAMORRA ,0,0,0,0
 Tienda Tantamayo , 379 ,  , PISO TORTA 22 ,  , PLATOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 381 ,  , PISO TORTA 31 ,  , PLATOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 394 , 7750078001302 , 6.5OZ VASO T TR PP ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 394 , 7750078001302 , 6.5OZ VASO T TR PP ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , POLLERÍA ,0,0,0,0
 Tienda Tantamayo , 394 , 7750078001302 , 6.5OZ VASO T TR PP ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 394 , 7750078001302 , 6.5OZ VASO T TR PP ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , ELIZABETH AVICOLA ,0,0,0,0
 Tienda Tantamayo , 394 , 7750078001302 , 6.5OZ VASO T TR PP ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , LOURDES ,0,0,0,0
 Tienda Tantamayo , 394 , 7750078001302 , 6.5OZ VASO T TR PP ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, MILLAR , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 394 , 7750078001302 , 6.5OZ VASO T TR PP ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, CIENTO , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510395 , 2050000113376 , CINTA 70 ,  , OTROS , YIMI ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510395 , 2050000113376 , CINTA 70 ,  , OTROS , YIMI ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, DOCENA , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 396 , 7754005000055 , CINTA 110 RO PEGAFAN ,  , OTROS , PEGAFÁN ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 396 , 7754005000055 , CINTA 110 RO PEGAFAN ,  , OTROS , PEGAFÁN ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, DOCENA , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510397 , 7754005007726 , CINTA 110 AZ PEGAFAN ,  , OTROS , PEGAFÁN ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510397 , 7754005007726 , CINTA 110 AZ PEGAFAN ,  , OTROS , PEGAFÁN ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, DOCENA , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510398 ,  , BOTELLA 1L ,  , OTROS , S/M ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PLANCHA , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510398 ,  , BOTELLA 1L ,  , OTROS , S/M ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PLANCHA , VIEJA ,0,0,0,0
 Tienda Tantamayo , 2510399 ,  , BAMBI ECO ,  , PAPEL , LIZ ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510399 ,  , BAMBI ECO ,  , PAPEL , LIZ ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, UNIDAD , VIEJA ,0,0,0,0
 Tienda Tantamayo , 400 ,  , BAMBI ROLLO BL ,  , PAPEL , LIZ ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 400 ,  , BAMBI ROLLO BL ,  , PAPEL , LIZ ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, UNIDAD , VIEJA ,0,0,0,0
 Tienda Tantamayo , 400 ,  , BAMBI ROLLO BL ,  , PAPEL , LIZ ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PLANCHA , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 401 , 7750078004273 , P15 FIBRA ,  , PLATOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 401 , 7750078004273 , P15 FIBRA ,  , PLATOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, CIENTO , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510402 ,  , TROME BL ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510402 ,  , TROME BL ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , POLLERÍA ,0,0,0,0
 Tienda Tantamayo , 2510402 ,  , TROME BL ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 403 ,  , FUENTE 30 ,  , PLATOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 403 ,  , FUENTE 30 ,  , PLATOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510404 ,  , 7OZ VE ACRILICO ,  , VASOS , HAWAI ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510404 ,  , 7OZ VE ACRILICO ,  , VASOS , HAWAI ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, CIENTO , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 380 ,  , PT27 ,  , OTROS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 380 ,  , PT27 ,  , OTROS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, MILLAR , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510405 ,  , 9OZ BIO NATURAL P1S ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510405 ,  , 9OZ BIO NATURAL P1S ,  , VASOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 2510U05 ,  , DOMO 92 U ,  , BOLSA , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510406 ,  , B2 P0S ,  , ENVASES , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510406 ,  , B2 P0S ,  , ENVASES , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , POLLERÍA ,0,0,0,0
 Tienda Tantamayo , 2510406 ,  , B2 P0S ,  , ENVASES , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, PAQUETE , VIEJA ,0,0,0,0
 Tienda Tantamayo , 2510406 ,  , B2 P0S ,  , ENVASES , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, MILLAR , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510406 ,  , B2 P0S ,  , ENVASES , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, CAJA , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 2510u06 ,  , 1l ER UNIDAD ,  , ENVASES , ALFA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, ACTIVO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , U07 ,  , CAJAS UNIDAD ,  , OTROS , S/M ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, UNIDAD , Lista de precios por defecto ,0,0,0,0
 Tienda Tantamayo , 407 ,  , PT22 PET PLUS ,  , PLATOS , PAMOLSA ,  , IGV IMPUESTO GENERAL A LAS VENTAS ,0, DESACTIVADO ,0,0,  ,0, PAQUETE , Lista de precios por defecto ,0,0,0,0
