"Id","CurrentStock","MinimumStock","MaximumStock","AverageCost","ProductId","StoreId","CreatedAt","UpdatedAt","IsDeleted","ImportBatchId"
528,-1,0,0,0.0000,312,1,2025-08-14 00:14:21.350 -0500,2025-08-14 00:14:21.354 -0500,false,
520,-9,0,0,0.0000,42,1,2025-08-14 00:14:20.792 -0500,2025-08-14 00:14:30.462 -0500,false,
541,-1,0,0,0.0000,423,1,2025-08-14 00:14:22.473 -0500,2025-08-14 00:14:22.480 -0500,false,
495,-3,0,0,0.0000,86,1,2025-08-14 00:14:19.717 -0500,2025-08-14 00:14:23.876 -0500,false,
515,-5,0,0,0.0000,96,1,2025-08-14 00:14:20.544 -0500,2025-08-14 00:14:26.621 -0500,false,
480,-4,0,0,0.0000,221,1,2025-08-14 00:14:19.149 -0500,2025-08-14 00:14:26.950 -0500,false,
484,-11,0,0,0.0000,25,1,2025-08-14 00:14:19.219 -0500,2025-08-14 00:14:24.989 -0500,false,
540,-35,0,0,0.0000,416,1,2025-08-14 00:14:22.392 -0500,2025-08-14 00:14:30.181 -0500,false,
537,-10,0,0,0.0000,60,1,2025-08-14 00:14:21.863 -0500,2025-08-14 00:14:21.869 -0500,false,
511,-4,0,0,0.0000,130,1,2025-08-14 00:14:20.422 -0500,2025-08-14 00:14:24.676 -0500,false,
535,-66,0,0,0.0000,61,1,2025-08-14 00:14:21.771 -0500,2025-08-14 00:14:30.650 -0500,false,
517,-3,0,0,0.0000,348,1,2025-08-14 00:14:20.590 -0500,2025-08-14 00:14:29.393 -0500,false,
548,-1,0,0,0.0000,315,1,2025-08-14 00:14:23.710 -0500,2025-08-14 00:14:23.718 -0500,false,
527,-2,0,0,0.0000,189,1,2025-08-14 00:14:21.276 -0500,2025-08-14 00:14:22.207 -0500,false,
492,-13,0,0,0.0000,164,1,2025-08-14 00:14:19.542 -0500,2025-08-14 00:14:25.211 -0500,false,
529,-12,0,0,0.0000,409,1,2025-08-14 00:14:21.377 -0500,2025-08-14 00:14:27.207 -0500,false,
513,-7,0,0,0.0000,282,1,2025-08-14 00:14:20.487 -0500,2025-08-14 00:14:28.985 -0500,false,
546,-1,0,0,0.0000,19,1,2025-08-14 00:14:23.518 -0500,2025-08-14 00:14:23.526 -0500,false,
512,-10,0,0,0.0000,220,1,2025-08-14 00:14:20.448 -0500,2025-08-14 00:14:28.118 -0500,false,
526,-16,0,0,0.0000,414,1,2025-08-14 00:14:21.206 -0500,2025-08-14 00:14:28.521 -0500,false,
547,-1,0,0,0.0000,24,1,2025-08-14 00:14:23.619 -0500,2025-08-14 00:14:23.629 -0500,false,
504,-3,0,0,0.0000,286,1,2025-08-14 00:14:20.143 -0500,2025-08-14 00:14:26.340 -0500,false,
549,-20,0,0,0.0000,64,1,2025-08-14 00:14:23.993 -0500,2025-08-14 00:14:24.002 -0500,false,
493,-34,0,0,0.0000,95,1,2025-08-14 00:14:19.570 -0500,2025-08-14 00:14:30.141 -0500,false,
550,-1,0,0,0.0000,336,1,2025-08-14 00:14:24.705 -0500,2025-08-14 00:14:24.712 -0500,false,
544,-2,0,0,0.0000,117,1,2025-08-14 00:14:22.950 -0500,2025-08-14 00:14:29.706 -0500,false,
551,-25,0,0,0.0000,421,1,2025-08-14 00:14:24.876 -0500,2025-08-14 00:14:24.883 -0500,false,
474,-8,0,0,0.0000,227,1,2025-08-14 00:14:19.033 -0500,2025-08-14 00:14:24.919 -0500,false,
552,-10,0,0,0.0000,351,1,2025-08-14 00:14:25.053 -0500,2025-08-14 00:14:25.066 -0500,false,
553,-10,0,0,0.0000,304,1,2025-08-14 00:14:25.095 -0500,2025-08-14 00:14:25.108 -0500,false,
543,-2,0,0,0.0000,71,1,2025-08-14 00:14:22.701 -0500,2025-08-14 00:14:25.721 -0500,false,
554,-1,0,0,0.0000,177,1,2025-08-14 00:14:25.379 -0500,2025-08-14 00:14:25.386 -0500,false,
518,-4,0,0,0.0000,406,1,2025-08-14 00:14:20.651 -0500,2025-08-14 00:14:30.384 -0500,false,
555,-1,0,0,0.0000,210,1,2025-08-14 00:14:26.005 -0500,2025-08-14 00:14:26.012 -0500,false,
485,-98,0,0,0.0000,201,1,2025-08-14 00:14:19.256 -0500,2025-08-14 00:14:26.084 -0500,false,
556,-1,0,0,0.0000,204,1,2025-08-14 00:14:26.208 -0500,2025-08-14 00:14:26.215 -0500,false,
481,-14,0,0,0.0000,217,1,2025-08-14 00:14:19.171 -0500,2025-08-14 00:14:28.157 -0500,false,
534,-5,0,0,0.0000,132,1,2025-08-14 00:14:21.685 -0500,2025-08-14 00:14:30.738 -0500,false,
460,0,0,0,0.6300,112,1,2025-08-14 00:13:48.070 -0500,,false,
461,86,0,0,2.8000,145,1,2025-08-14 00:13:48.075 -0500,,false,
462,26,0,0,2.9500,146,1,2025-08-14 00:13:48.080 -0500,,false,
471,57,0,0,0.7300,418,1,2025-08-14 00:13:48.149 -0500,2025-08-14 00:14:19.769 -0500,false,
463,0,0,0,7.5000,147,1,2025-08-14 00:13:48.085 -0500,,false,
464,5,0,0,6.3000,149,1,2025-08-14 00:13:48.092 -0500,,false,
451,21,0,0,1.8900,103,1,2025-08-14 00:13:48.012 -0500,2025-08-14 00:14:25.576 -0500,false,
465,27,0,0,2.8800,152,1,2025-08-14 00:13:48.102 -0500,,false,
466,14,0,0,5.5000,153,1,2025-08-14 00:13:48.108 -0500,,false,
559,-1,0,0,0.0000,36,1,2025-08-14 00:14:26.477 -0500,2025-08-14 00:14:26.484 -0500,false,
467,1,0,0,5.2000,161,1,2025-08-14 00:13:48.114 -0500,,false,
468,0,0,0,0.4000,280,1,2025-08-14 00:13:48.129 -0500,,false,
560,-1,0,0,0.0000,245,1,2025-08-14 00:14:26.545 -0500,2025-08-14 00:14:26.552 -0500,false,
561,-25,0,0,0.0000,39,1,2025-08-14 00:14:26.822 -0500,2025-08-14 00:14:26.836 -0500,false,
469,3,0,0,6.9000,317,1,2025-08-14 00:13:48.137 -0500,,false,
562,-6,0,0,0.0000,261,1,2025-08-14 00:14:27.029 -0500,2025-08-14 00:14:27.039 -0500,false,
470,18,0,0,5.8800,356,1,2025-08-14 00:13:48.143 -0500,,false,
563,-3,0,0,0.0000,402,1,2025-08-14 00:14:27.072 -0500,2025-08-14 00:14:27.081 -0500,false,
564,-1,0,0,0.0000,372,1,2025-08-14 00:14:27.352 -0500,2025-08-14 00:14:27.363 -0500,false,
459,50,0,0,0.5300,111,1,2025-08-14 00:13:48.064 -0500,2025-08-14 00:14:27.654 -0500,false,
565,-1,0,0,0.0000,367,1,2025-08-14 00:14:27.987 -0500,2025-08-14 00:14:28.004 -0500,false,
472,-3,0,0,1.5000,419,1,2025-08-14 00:13:48.156 -0500,2025-08-14 00:14:28.055 -0500,false,
566,-1,0,0,0.0000,390,1,2025-08-14 00:14:28.316 -0500,2025-08-14 00:14:28.323 -0500,false,
567,-5,0,0,0.0000,44,1,2025-08-14 00:14:28.719 -0500,2025-08-14 00:14:28.732 -0500,false,
568,-4,0,0,0.0000,156,1,2025-08-14 00:14:29.232 -0500,2025-08-14 00:14:29.242 -0500,false,
569,-1,0,0,0.0000,383,1,2025-08-14 00:14:29.336 -0500,2025-08-14 00:14:29.346 -0500,false,
557,-4,0,0,0.0000,57,1,2025-08-14 00:14:26.274 -0500,2025-08-14 00:14:29.439 -0500,false,
558,-16,0,0,0.0000,58,1,2025-08-14 00:14:26.439 -0500,2025-08-14 00:14:29.472 -0500,false,
456,77,0,0,0.3000,108,1,2025-08-14 00:13:48.047 -0500,2025-08-14 00:14:29.773 -0500,false,
570,-25,0,0,0.0000,433,1,2025-08-14 00:14:30.554 -0500,2025-08-14 00:14:30.569 -0500,false,
446,11,0,0,4.5500,46,1,2025-08-14 00:13:47.978 -0500,,false,
447,5,0,0,2.4100,99,1,2025-08-14 00:13:47.984 -0500,,false,
448,13,0,0,2.1400,100,1,2025-08-14 00:13:47.989 -0500,,false,
449,10,0,0,1.8500,101,1,2025-08-14 00:13:48.000 -0500,,false,
450,19,0,0,1.5400,102,1,2025-08-14 00:13:48.006 -0500,,false,
452,0,0,0,0.8100,104,1,2025-08-14 00:13:48.017 -0500,,false,
453,0,0,0,1.7200,105,1,2025-08-14 00:13:48.023 -0500,,false,
454,37,0,0,1.3700,106,1,2025-08-14 00:13:48.035 -0500,,false,
455,36,0,0,1.2600,107,1,2025-08-14 00:13:48.041 -0500,,false,
457,0,0,0,0.3500,109,1,2025-08-14 00:13:48.052 -0500,,false,
458,54,0,0,0.3900,110,1,2025-08-14 00:13:48.058 -0500,,false,
